item,itemLabel,minister,ministerLabel,began,ended
Q4141111,Ministerio del Poder Popular para la Salud,,,,
Q16607803,Ministry of Economy and Finance (Venezuela),,,,
Q109557603,Ministry of Food of Venezuela,Q16607785,Minister of Food,,
Q16607763,Ministry of Foreign Affairs of the Bolivarian Republic of Venezuela,Q113470515,Minister of Foreign Affairs of the Bolivarian Republic of Venezuela,,
Q6867073,Ministry of Ground Transport,,,2011,
Q25406610,Ministry of Popular Power for Ecosocialism,,,2015,
Q18416635,"Ministry of Popular Power for Ecosocialism, Habitat and Housing",,,2014,
Q38028955,Ministry of Popular Power for Fisheries and Aquaculture,,,,
Q48477955,Ministry of Popular Power for Foreign Trade and International Investment,,,2016,
Q6017558,Ministry of Popular Power for Housing and Habitat,,,2005,
Q16607766,"Ministry of Popular Power for Interior, Justice and Peace",,,1832,
Q16607779,Ministry of Popular Power for Labour and Social Security,,,1945,
Q16607751,Ministry of Popular Power for Petroleum and Mining,,,,
Q6017563,Ministry of Popular Power for Productive Agriculture and Land,,,,
Q16607782,Ministry of Popular Power for Tourism,,,,
Q18416638,"Ministry of Popular Power for University Education, Science and Technology",,,2014,
Q6017557,Ministry of Popular Power of the Office of the Presidency,,,2012,
Q56300608,Ministry of Public Works of Venezuela,,,,
Q6867627,Ministry of Transport and Communications,,,,
Q108257421,Ministry of the Popular Power of Ecological Mining Development,,,2016,
Q3814736,Venezuelan Ministry of Communications and Information,Q113578029,Venezuelan Minister of Communications and Information,2002,
Q7919827,Venezuelan Ministry of Environment and Natural Resources,Q113578038,Venezuelan Minister of Environment and Natural Resources,,
Q7919829,Venezuelan Ministry of Popular Power for Education,Q113578045,Venezuelan Minister of Popular Power for Education,1881,
Q4141450,Venezuelan Ministry of the Popular Participation for the Defense,Q113578049,Venezuelan Minister of the Popular Participation for the Defense,1951,
